Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Available On,Amount,Fee,Net,Checkout,Payment Method Name,Presentment Amount,Presentment Currency,Currency,
2021-12-19 15:22:06 +0000,charge,#WEB2096,master,online,paid,31/12/2021,23/12/2021,10.24,0.43,9.81,#22269442261107,card,10.24,GBP,GBP,GB
2021-12-19 14:39:02 +0000,charge,#WEB2095,visa,online,paid,31/12/2021,23/12/2021,10.39,0.43,9.96,#22373057724531,card,10.39,GBP,GBP,GB
2021-12-18 22:55:11 +0000,charge,#WEB2094,master,online,paid,31/12/2021,23/12/2021,14.19,0.51,13.68,#22367640879219,card,14.19,GBP,GBP,CZ
2021-12-17 17:50:00 +0000,charge,#WEB2091,visa,online,paid,31/12/2021,22/12/2021,21.98,0.68,21.3,#22356109361267,card,21.98,GBP,GBP,CA
2021-12-16 19:00:18 +0000,charge,#WEB2089,visa,online,paid,31/12/2021,21/12/2021,15.36,0.54,14.82,#22328341135475,card,15.36,GBP,GBP,GB
2021-12-16 17:27:36 +0000,charge,#WEB2088,visa,online,paid,31/12/2021,21/12/2021,16.64,0.57,16.07,#22346224402547,card,16.64,GBP,GBP,GB
2021-12-15 18:52:36 +0000,charge,#WEB2084,visa,online,paid,31/12/2021,20/12/2021,14.71,0.52,14.19,#22336900595827,card,14.71,GBP,GBP,GB
2021-12-12 12:48:29 +0000,charge,#WEB2076,master,online,paid,31/12/2021,16/12/2021,9.6,0.41,9.19,#22304420593779,card,9.6,GBP,GBP,GB
2021-12-11 09:03:18 +0000,charge,#WEB2075,visa,online,paid,31/12/2021,16/12/2021,12.49,0.47,12.02,#22293286813811,card,12.49,GBP,GBP,GB
2021-12-09 22:07:49 +0000,charge,#WEB2074,visa,online,paid,31/12/2021,14/12/2021,23.68,0.72,22.96,#22278293913715,card,23.68,GBP,GBP,GB
2021-12-09 20:25:04 +0000,charge,#WEB2073,visa,online,paid,31/12/2021,14/12/2021,8.96,0.4,8.56,#22278230900851,card,8.96,GBP,GBP,GB
2021-12-06 20:16:21 +0000,charge,#WEB2069,master,online,paid,31/12/2021,09/12/2021,10.39,0.43,9.96,#22247886028915,card,10.39,GBP,GBP,GB
2021-12-06 16:34:59 +0000,charge,#WEB2068,master,online,paid,31/12/2021,09/12/2021,45.56,1.2,44.36,#22246268797043,card,45.56,GBP,GBP,GB
2021-12-06 13:36:19 +0000,charge,#WEB2067,american_express,online,paid,31/12/2021,09/12/2021,146.37,3.42,142.95,#22244999659635,card,146.37,GBP,GBP,GB
2021-12-06 10:05:45 +0000,refund,#WEB1994,master,online,paid,31/12/2021,06/12/2021,-48.16,0,-48.16,#21971688947827,card,48.16,GBP,GBP,IT
2021-12-04 18:54:53 +0000,charge,#WEB2064,master,online,paid,31/12/2021,09/12/2021,51.99,1.34,50.65,#22228633124979,card,51.99,GBP,GBP,GB
2021-12-02 09:39:15 +0000,charge,#WEB2060,master,online,paid,31/12/2021,07/12/2021,7.19,0.36,6.83,#22205843341427,card,7.19,GBP,GBP,FR
2021-12-01 19:13:33 +0000,charge,#WEB2058,master,online,paid,31/12/2021,06/12/2021,9.99,0.42,9.57,#22200105926771,card,9.99,GBP,GBP,GB
2021-12-01 17:05:23 +0000,charge,#WEB2057,master,online,paid,31/12/2021,06/12/2021,43.99,1.17,42.82,#22189067239539,card,43.99,GBP,GBP,GB
2021-11-30 17:37:24 +0000,charge,#WEB2055,visa,online,paid,31/12/2021,03/12/2021,41.59,1.11,40.48,#22187653136499,card,41.59,GBP,GBP,GB
2021-11-30 12:11:17 +0000,charge,#WEB2053,master,online,paid,31/12/2021,03/12/2021,13.59,0.5,13.09,#22186413719667,card,13.59,GBP,GBP,GB
2021-11-29 19:04:55 +0000,charge,#WEB2051,master,online,paid,31/12/2021,02/12/2021,49.88,1.3,48.58,#22150838452339,card,49.88,GBP,GBP,GB
2021-11-29 07:42:29 +0000,charge,#WEB2050,visa,online,paid,31/12/2021,02/12/2021,26.23,0.78,25.45,#22171726348403,card,26.23,GBP,GBP,GB
2021-11-28 15:47:29 +0000,charge,#WEB2048,visa,online,paid,31/12/2021,02/12/2021,23.02,0.71,22.31,#22163580354675,card,23.02,GBP,GBP,FR
2021-11-28 13:02:23 +0000,charge,#WEB2047,visa,online,paid,31/12/2021,02/12/2021,8.79,0.39,8.4,#22162302369907,card,8.79,GBP,GBP,GB
2021-11-27 21:20:44 +0000,charge,#WEB2045,master,online,paid,31/12/2021,02/12/2021,13.44,0.5,12.94,#22155468177523,card,13.44,GBP,GBP,GB
2021-11-27 21:08:42 +0000,charge,#WEB2044,master,online,paid,31/12/2021,02/12/2021,10.88,0.44,10.44,#22155261575283,card,10.88,GBP,GBP,GB
2021-11-27 19:58:15 +0000,charge,#WEB2043,visa,online,paid,31/12/2021,02/12/2021,27.72,0.81,26.91,#22154683121779,card,27.72,GBP,GBP,CA
2021-11-27 19:36:58 +0000,charge,#WEB2042,visa,online,paid,31/12/2021,02/12/2021,15.19,0.53,14.66,#22154519969907,card,15.19,GBP,GBP,GB
2021-11-27 13:54:46 +0000,charge,#WEB2041,master,online,paid,31/12/2021,02/12/2021,43.51,1.16,42.35,#22151368573043,card,43.51,GBP,GBP,GB
2021-11-27 11:40:13 +0000,charge,#WEB2040,visa,online,paid,31/12/2021,02/12/2021,7.19,0.36,6.83,#22150356664435,card,7.19,GBP,GBP,GB
2021-11-26 18:31:53 +0000,charge,#WEB2039,visa,online,paid,31/12/2021,01/12/2021,13.59,0.5,13.09,#22140588687475,card,13.59,GBP,GBP,GB
2021-11-26 08:57:24 +0000,charge,#WEB2036,visa,online,paid,31/12/2021,01/12/2021,85.28,2.08,83.2,#22134759293043,card,85.28,GBP,GBP,Iceland
2021-11-26 03:47:50 +0000,charge,#WEB2035,visa,online,paid,31/12/2021,01/12/2021,25.31,0.76,24.55,#22132248838259,card,25.31,GBP,GBP,US
